"canonical_exercise_id","exact_app_display_name","source_collections","primary_collection","primary_category","body_region","position","equipment","motion_format","requires_clinical_or_rule_review","existing_demo_status","asset_status","asset_filename","notes"
"cable-pallof-press","Standing Cable Pallof Press","prescribed;strength-library","prescribed","strength","Core","Standing","cable-station","start_end","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/cable-pallof-press.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"single-balance","Single-Leg Balance","prescribed;strength-library","prescribed","strength","Balance","Standing","","setup_hold","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/single-balance.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"weighted-wagon-backward-drag","Weighted Wagon Backward Drag","prescribed;strength-library","prescribed","strength","Legs","Standing","weighted-wagon","start_end","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/weighted-wagon-backward-drag.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"band-hamstring","Prone Band Hamstring Curl","prescribed;strength-library","prescribed","strength","Legs","Prone","rehab-bands","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/band-hamstring.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"pull-up","Pull-Up","prescribed;strength-library","prescribed","strength","Back","Hanging","pull-up-bar","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/pull-up.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"db-bench","Incline Dumbbell Press","prescribed;strength-library","prescribed","strength","Chest","Incline bench","adjustable-bench;dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/db-bench.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"knee-to-wall","Knee-to-Wall Mobility","prescribed;strength-library","prescribed","strength","Calf & ankle","Standing","","start_end","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/knee-to-wall.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-lat-pulldown","Lat pulldown","strength-library","strength-library","Back","Back","Seated","cable-station;adjustable-bench","start_end","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-lat-pulldown.png","Visually reviewed start and finish: continuous cable, stable seat, thigh restraint, front-of-head bar path, complete anatomy and readable labels. Generic apparatus; follow the B52 manufacturer-approved setup. Supplemental illustration only."
"calf-assisted","Front-foot-supported calf raise","strength-library","strength-library","Calf & ankle","Calf & ankle","Standing","adjustable-bench","start_end","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/calf-assisted.png","Individual generated artwork inspected for title, panels, working limb, heel position, support, anatomy and equipment. Supplemental illustration; existing setup and demos remain authoritative."
"calf-dumbbell-single","Dumbbell-loaded single-leg calf raise","strength-library","strength-library","Calf & ankle","Calf & ankle","Standing","dumbbells","start_end","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/calf-dumbbell-single.png","Individual generated artwork inspected for title, panels, working limb, heel position, support, anatomy and equipment. Supplemental illustration; existing setup and demos remain authoritative."
"calf-smith","Smith standing calf raise","strength-library","strength-library","Calf & ankle","Calf & ankle","Standing","smith-machine","start_end","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/calf-smith.png","Individual generated artwork inspected for title, panels, working limb, heel position, support, anatomy and equipment. Supplemental illustration; existing setup and demos remain authoritative."
"calf-seated-single","Single-leg seated calf raise","strength-library","strength-library","Calf & ankle","Calf & ankle","Seated","adjustable-bench;dumbbells","start_end","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/calf-seated-single.png","Individual generated artwork inspected for title, panels, working limb, heel position, support, anatomy and equipment. Supplemental illustration; existing setup and demos remain authoritative."
"calf-bent-standing","Bilateral bent-knee calf raise","strength-library","strength-library","Calf & ankle","Calf & ankle","Standing","","start_end","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/calf-bent-standing.png","Individual generated artwork inspected for title, panels, working limb, heel position, support, anatomy and equipment. Supplemental illustration; existing setup and demos remain authoritative."
"calf-isometric-single","Single-leg calf isometric hold","strength-library","strength-library","Calf & ankle","Calf & ankle","Standing","","setup_hold","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/calf-isometric-single.png","Individual generated artwork inspected for title, panels, working limb, heel position, support, anatomy and equipment. Supplemental illustration; existing setup and demos remain authoritative."
"library-seated-unilateral-cable-hamstring-curl","Seated unilateral cable hamstring curl","strength-library","strength-library","Legs","Hamstrings","Seated","cable-station;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-seated-unilateral-cable-hamstring-curl.png","Normalized 640 × 960 PNG visually inspected: exact title, phase labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-straight-bar-cable-triceps-extension","Straight-bar cable triceps extension","strength-library","strength-library","Arms","Arms","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-straight-bar-cable-triceps-extension.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-rope-cable-triceps-extension","Rope cable triceps extension","strength-library","strength-library","Arms","Arms","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-rope-cable-triceps-extension.png","Normalized 640 × 960 PNG visually inspected: exact title, phase labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-cable-biceps-curl","Cable biceps curl","strength-library","strength-library","Arms","Arms","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-cable-biceps-curl.png","Normalized 640 × 960 PNG visually inspected: exact title, phase labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-overhead-rope-cable-triceps-extension","Overhead rope cable triceps extension","strength-library","strength-library","Arms","Arms","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-overhead-rope-cable-triceps-extension.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-cable-face-pull","Cable face pull","strength-library","strength-library","Shoulders","Back","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-cable-face-pull.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-cable-reverse-fly","Cable reverse fly","strength-library","strength-library","Shoulders","Back","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-cable-reverse-fly.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-two-arm-cable-lateral-raise","Two-arm cable lateral raise","strength-library","strength-library","Shoulders","Shoulders","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-two-arm-cable-lateral-raise.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-cable-external-rotation","Cable external rotation","strength-library","strength-library","Shoulders","Shoulders","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-cable-external-rotation.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-standing-cable-fly","Standing cable fly","strength-library","strength-library","Chest","Chest","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-standing-cable-fly.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-straight-arm-cable-pulldown","Straight-arm cable pulldown","strength-library","strength-library","Back","Back","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-straight-arm-cable-pulldown.png","Final 640 × 960 PNG visually inspected: title, two panels, anatomy, equipment and movement checked. Dead-bug opposite-limb correction reviewed where applicable."
"library-kneeling-cable-crunch","Kneeling cable crunch","strength-library","strength-library","Core","Core","Kneeling","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-kneeling-cable-crunch.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-cable-wood-chop","Cable wood chop","strength-library","strength-library","Core","Core","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-cable-wood-chop.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-standing-cable-hamstring-curl","Standing cable hamstring curl","strength-library","strength-library","Legs","Legs","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-standing-cable-hamstring-curl.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-cable-hip-abduction","Cable hip abduction","strength-library","strength-library","Legs","Legs","Standing","cable-station","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-cable-hip-abduction.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-flat-dumbbell-bench-press","Flat dumbbell bench press","strength-library","strength-library","Chest","Chest","Seated / bench-supported","dumbbells;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-flat-dumbbell-bench-press.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-dumbbell-fly","Dumbbell fly","strength-library","strength-library","Chest","Chest","Supine","dumbbells;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-dumbbell-fly.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-close-grip-dumbbell-press","Close-grip dumbbell press","strength-library","strength-library","Chest","Chest","Supine","dumbbells;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-close-grip-dumbbell-press.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-dumbbell-floor-press","Dumbbell floor press","strength-library","strength-library","Chest","Chest","Floor","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-dumbbell-floor-press.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-dumbbell-pullover","Dumbbell pullover","strength-library","strength-library","Chest","Chest","Supine","dumbbells;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-dumbbell-pullover.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-bent-over-dumbbell-row","Bent-over dumbbell row","strength-library","strength-library","Back","Back","Standing","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-bent-over-dumbbell-row.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-chest-supported-dumbbell-row","Chest-supported dumbbell row","strength-library","strength-library","Back","Back","Bench-supported","dumbbells;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-chest-supported-dumbbell-row.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-dumbbell-shrug","Dumbbell shrug","strength-library","strength-library","Back","Back","Standing","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-dumbbell-shrug.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-bent-over-dumbbell-reverse-fly","Bent-over dumbbell reverse fly","strength-library","strength-library","Shoulders","Shoulders","Standing hip hinge","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-bent-over-dumbbell-reverse-fly.png","Final 640 × 960 PNG individually visually inspected for exact exercise title, anatomy, equipment, movement phases, margins and legibility. Supplemental illustration; existing demo and prescription remain authoritative."
"library-seated-dumbbell-shoulder-press","Seated dumbbell shoulder press","strength-library","strength-library","Shoulders","Shoulders","Seated / bench-supported","dumbbells;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-seated-dumbbell-shoulder-press.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-standing-dumbbell-shoulder-press","Standing dumbbell shoulder press","strength-library","strength-library","Shoulders","Shoulders","Standing","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-standing-dumbbell-shoulder-press.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-seated-dumbbell-lateral-raise","Seated dumbbell lateral raise","strength-library","strength-library","Shoulders","Shoulders","Bench-supported","dumbbells;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-seated-dumbbell-lateral-raise.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-incline-dumbbell-curl","Incline dumbbell curl","strength-library","strength-library","Arms","Arms","Bench-supported","dumbbells;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-incline-dumbbell-curl.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-standing-hammer-curl","Standing hammer curl","strength-library","strength-library","Arms","Arms","Standing","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-standing-hammer-curl.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-lying-dumbbell-triceps-extension","Lying dumbbell triceps extension","strength-library","strength-library","Arms","Arms","Supine","dumbbells;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-lying-dumbbell-triceps-extension.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-bent-over-dumbbell-triceps-kickback","Bent-over dumbbell triceps kickback","strength-library","strength-library","Arms","Arms","Standing hip hinge","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-bent-over-dumbbell-triceps-kickback.png","Normalized 640 × 960 PNG visually inspected for exact title, phase labels, anatomy, equipment, composition and enlarged readability. Representation follows the user-approved diverse fictional model brief; supplemental illustration only."
"library-dumbbell-goblet-squat","Dumbbell goblet squat","strength-library","strength-library","Legs","Legs","Standing","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-dumbbell-goblet-squat.png","Normalized 640 × 960 PNG visually inspected for exact title, phase labels, anatomy, equipment, composition and enlarged readability. Representation follows the user-approved diverse fictional model brief; supplemental illustration only."
"library-dumbbell-squat","Dumbbell squat","strength-library","strength-library","Legs","Legs","Standing","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-dumbbell-squat.png","Normalized 640 × 960 PNG visually inspected for exact title, phase labels, anatomy, equipment, composition and enlarged readability. Representation follows the user-approved diverse fictional model brief; supplemental illustration only."
"library-dumbbell-reverse-lunge","Dumbbell reverse lunge","strength-library","strength-library","Legs","Legs","Standing","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-dumbbell-reverse-lunge.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-dumbbell-bulgarian-split-squat","Dumbbell Bulgarian split squat","strength-library","strength-library","Legs","Legs","Standing","dumbbells;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-dumbbell-bulgarian-split-squat.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-smith-incline-bench-press","Smith incline bench press","strength-library","strength-library","Chest","Chest","Seated incline","smith-machine;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-smith-incline-bench-press.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-smith-seated-shoulder-press","Smith seated shoulder press","strength-library","strength-library","Shoulders","Shoulders","Seated","smith-machine;adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-smith-seated-shoulder-press.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-smith-bent-over-row","Smith bent-over row","strength-library","strength-library","Back","Back","Standing hinge","smith-machine","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-smith-bent-over-row.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-smith-shrug","Smith shrug","strength-library","strength-library","Back","Back","Standing","smith-machine","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-smith-shrug.png","Final 640 × 960 PNG visually inspected: title, phase labels, anatomy, equipment and distinct movement positions reviewed."
"library-smith-wide-stance-squat","Smith wide-stance squat","strength-library","strength-library","Legs","Legs","Standing","smith-machine","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-smith-wide-stance-squat.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-smith-deadlift","Smith deadlift","strength-library","strength-library","Legs","Legs","Standing","smith-machine","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-smith-deadlift.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-barbell-bent-over-row","Barbell bent-over row","strength-library","strength-library","Back","Back","Standing hip hinge","olympic-barbell;weight-plates","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-barbell-bent-over-row.png","Normalized 640 × 960 PNG visually inspected: exact title, phase labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-barbell-shrug","Barbell shrug","strength-library","strength-library","Back","Upper back","Standing","olympic-barbell;weight-plates","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-barbell-shrug.png","Normalized 640 × 960 PNG visually inspected for exact title, phase labels, anatomy, equipment, composition and enlarged readability. Representation follows the user-approved diverse fictional model brief; supplemental illustration only."
"library-barbell-deadlift","Barbell deadlift","strength-library","strength-library","Legs","Legs","Standing","olympic-barbell;weight-plates","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-barbell-deadlift.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-barbell-romanian-deadlift","Barbell Romanian deadlift","strength-library","strength-library","Legs","Posterior chain","Standing hip hinge","olympic-barbell;weight-plates","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-barbell-romanian-deadlift.png","Normalized 640 × 960 PNG visually inspected: exact title, phase labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"library-barbell-hip-thrust","Barbell hip thrust","strength-library","strength-library","Legs","Legs","Supine incline","olympic-barbell;adjustable-bench;weight-plates","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-barbell-hip-thrust.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"library-barbell-glute-bridge","Barbell glute bridge","strength-library","strength-library","Legs","Legs","Supine","olympic-barbell;weight-plates","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-barbell-glute-bridge.png","Final 640 × 960 PNG visually inspected: title, phase labels, anatomy, equipment and distinct movement positions reviewed."
"library-trap-bar-deadlift","Trap-bar deadlift","strength-library","strength-library","Legs","Legs","Standing","trap-hex-bar;weight-plates","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/strength-library/library-trap-bar-deadlift.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
